,Unnamed: 0,loc,title,author,is_foreign
1627,1627,42840_24908,不良少年とキリスト,坂口安吾,False
1628,1628,42586_21843,ヒロシマの声,豊島与志雄,False
1629,1629,51596_62106,戦友,小川未明,False
1630,1630,53374_43258,〔甘藍の球は弾けて〕,宮沢賢治,False
1631,1631,76_15182,奇遇,芥川龍之介,False
1637,1637,52405_50160,鳴門秘帖,吉川英治,False
1639,1639,55077_54773,瀬戸・美濃瀬戸発掘雑感,北大路魯山人,False
1640,1640,4391_13509,静岡地震被害見学記,寺田寅彦,False
1642,1642,53862_47751,雑木林の中,田中貢太郎,False
1643,1643,42529_22775,父と子供たち,豊島与志雄,False
1649,1649,4422_29937,まなづるとダァリヤ,宮沢賢治,False
1652,1652,3352_36913,共軛回転弾,海野十三,False
1654,1654,46951_27950,古代民謡の研究,折口信夫,False
1656,1656,42220_16617,雑記（１［＃「１」はローマ数字、1-13-21］）,寺田寅彦,False
1657,1657,43542_18865,海亀,岡本綺堂,False
1661,1661,42639_22955,泥坊,豊島与志雄,False
1662,1662,54954_48509,洛北深泥池の蓴菜,北大路魯山人,False
1670,1670,52119_48275,世の中のこと,小川未明,False
1671,1671,56058_53034,人間山水図巻,吉川英治,False
1672,1672,54527_57478,未婚婦人,今野大力,False
1676,1676,52106_60505,一粒の真珠,小川未明,False
1678,1678,51028_50580,一本の釣りざお,小川未明,False
1690,1690,1632_11966,雷峯塔物語,田中貢太郎,False
1692,1692,49964_37767,衰えてきた日本料理は救わねばならぬ,北大路魯山人,False
1693,1693,1240_25726,空襲葬送曲,海野十三,False
1695,1695,51080_48559,明るき世界へ,小川未明,False
1697,1697,42488_21110,偶像に就ての雑感,豊島与志雄,False
1698,1698,51964_41171,手紙,坂本龍馬,False
1702,1702,57313_59463,雪は資源である,中谷宇吉郎,False
1706,1706,55571_55989,写真（北満の土産）その二,今野大力,False
1708,1708,52247_47755,藍微塵の衣服,田中貢太郎,False
1709,1709,45874_32933,大井広介といふ男,坂口安吾,False
1711,1711,42439_28816,足,豊島与志雄,False
1715,1715,54168_46733,「地球圖」序,太宰治,False
1719,1719,51842_40061,手紙,坂本龍馬,False
1720,1720,55534_55352,新らしいスローガンについて,今野大力,False
1721,1721,3789_27348,又一説？,芥川龍之介,False
1722,1722,13209_14222,辞書,折口信夫,False
1728,1728,45213_18765,かぶと虫,新美南吉,False
1731,1731,3656_26097,白金之絵図,泉鏡花,False
1739,1739,43188_22523,温浴,坂口安吾,False
1741,1741,4961_17171,雲雀病院,原民喜,False
1745,1745,52893_43455,闘戦勝仏,牧野信一,False
1746,1746,42354_15872,鬱屈禍,太宰治,False
1758,1758,2469_9349,映画芸術,寺田寅彦,False
1765,1765,42738_29473,白木蓮,豊島与志雄,False
1767,1767,46712_27676,犬と人形,夢野久作,False
1769,1769,141_15127,西方の人,芥川龍之介,False
1773,1773,45889_33225,露の答,坂口安吾,False
1775,1775,3766_27293,「仮面」の人々,芥川龍之介,False
1777,1777,3768_27364,リチヤアド・バアトン訳「一千一夜物語」に就いて,芥川龍之介,False
1779,1779,53424_43302,対酌,宮沢賢治,False
1786,1786,2718_23979,恐竜島,海野十三,False
1788,1788,42475_21074,梅花の気品,豊島与志雄,False
1793,1793,51567_63357,子供は悲しみを知らず,小川未明,False
1794,1794,3529_18458,流線間諜,海野十三,False
1796,1796,52850_45371,坂口安吾君の『黒谷村』を読む,牧野信一,False
1800,1800,48035_45854,小坂部姫,岡本綺堂,False
1802,1802,52925_52766,片田舎にあった話,小川未明,False
1803,1803,1938_18756,祭の晩,宮沢賢治,False
1809,1809,45898_34355,戦後合格者,坂口安吾,False
1810,1810,45867_33233,古都,坂口安吾,False
1814,1814,42665_25717,母親,豊島与志雄,False
1818,1818,48483_50128,夕凪,原民喜,False
